OBJECT_NAME,NORAD_CAT_ID,COUNTRY,LAUNCH,COMMENT
FALCON 9 R/B,43218,US,2018-02-22,
SL-4 R/B,43212,CIS,2018-02-13,
SL-23 DEB,43094,CIS,2017-12-26,
SL-23 DEB,43093,CIS,2017-12-26,
SL-23 DEB,43092,CIS,2017-12-26,
SL-23 DEB,43091,CIS,2017-12-26,
SL-23 R/B,43090,CIS,2017-12-26,
SL-4 R/B,43064,CIS,2017-12-17,
DRAGON CRS-13 DEB,43062,US,2017-12-15,
DRAGON CRS-13 DEB,43061,US,2017-12-15,
DRAGON CRS-13,43060,US,2017-12-15,
ANTARES DEB,43009,US,2017-11-12,
ANTARES DEB,43008,US,2017-11-12,
ANTARES R/B,43007,US,2017-11-12,
CYGNUS 0A-8,43006,US,2017-11-12,
SL-4 R/B,42972,CIS,2017-10-14,
SL-4 R/B,42938,CIS,2017-09-12,
OPTSAT 3000 DEB (COVER),42931,IT,2017-08-02,
PSLV DEB,42930,IND,2017-08-31,
PSLV DEB,42929,IND,2017-08-31,
MINOTAUR DEB,42926,US,2017-08-26,
MINOTAUR DEB,42924,US,2017-08-26,
MINOTAUR DEB,42923,US,2017-08-26,
DRAGON CRS-12 DEBRIS,42906,US,2017-08-14,
DRAGON CRS-12 DEBRIS,42905,US,2017-08-14,
DRAGON CRS-12,42904,US,2017-08-14,
SL-4 R/B,42899,CIS,2017-07-28,
SOYUZ MS-05,42898,CIS,2017-07-28,
ISS DEB (ROSA),42813,US,1998-11-20,
FALCON 9 R/B,42802,US,2017-06-23,
VOLGA R/B,42799,CIS,2017-06-23,
INFLATESAIL,42770,UK,2017-06-23,
SL-4 R/B,42757,CIS,2017-06-14,
PROGRESS MS-06,42756,CIS,2017-06-14,
GSLV R/B,42748,IND,2017-06-05,
DRAGON CRS-11 DEB,42746,US,2017-06-03,
DRAGON CRS-11 DEB,42745,US,2017-06-03,
DRAGON CRS-11,42744,US,2017-06-03,
ISS DEB,42697,ISS,1998-11-20,
GSLV R/B,42696,IND,2017-05-05,
CZ-7 DEB,42688,PRC,2017-04-20,
CZ-7 DEB,42687,PRC,2017-04-20,
CZ-7 DEB,42686,PRC,2017-04-20,
CZ-7 R/B,42685,PRC,2017-04-20,
TIANZHOU 1,42684,PRC,2017-04-20,
SL-4 R/B,42683,CIS,2017-04-20,
SOYUZ MS-04,42682,CIS,2017-04-20,
CYGNUS OA-7,42681,US,2017-04-18,
COSMOS 1461 DEB,42450,CIS,1983-05-07,
COSMOS 1461 DEB,42449,CIS,1983-05-07,
SEASAT 1 DEB,42444,US,1978-06-27,
ISS DEB,42434,ISS,1998-11-20,
DMSP 5D-2 F13 DEB,42311,US,1995-03-24,
TK-1 DEB,42077,PRC,2017-03-02,
DELTA 4 R/B,42076,US,2017-03-19,
H-2A DEB,42074,JPN,2017-03-17,
TECHEDSAT 5,42066,US,1998-11-20,
AVUM R/B,42064,FR,2017-03-07,
KT-2A R/B,42062,PRC,2017-03-02,
COSMOS 1408 DEB,42060,CIS,1982-09-16,
SL-4 R/B,42057,CIS,2017-02-22,
PROGRESS MS-05,42056,CIS,2017-02-22,
DRAGON CRS-10 DEB,42055,US,2017-02-19,
DRAGON CRS-10 DEB,42054,US,2017-02-19,
DRAGON CRS-10,42053,US,2017-02-19,
OSNSAT,41939,US,1998-11-20,
